Transcript length (including UTRs and CDS)	Gene name
7734	ANKRD17
504	ANKRD17
852	ANKRD17
563	ANKRD17
2717	ANKRD17
3259	ANKRD17
539	ANKRD17
7773	PEG13
5650	PEG13
4106	GPR85
5079	GPR85
3231	GPR85
2783	GPR85
582	GPR85
591	GPR85
615	GPR85
6899	TRAPPC9
7092	TRAPPC9
3693	TRAPPC9
2021	TRAPPC9
665	TRAPPC9
548	TRAPPC9
551	TRAPPC9
591	TRAPPC9
705	TRAPPC9
558	TRAPPC9
518	TRAPPC9
560	TRAPPC9
547	TRAPPC9
455	TRAPPC9
545	TRAPPC9
492	TRAPPC9
3629	GOLGA2
3733	GOLGA2
6289	GOLGA2
4233	GOLGA2
4359	GOLGA2
4239	GOLGA2
4197	GOLGA2
4297	GOLGA2
4259	GOLGA2
1804	GOLGA2
1860	GOLGA2
2861	GOLGA2
2848	GOLGA2
1403	GOLGA2
450	GOLGA2
591	GOLGA2
485	GOLGA2
556	GOLGA2
727	GOLGA2
988	GOLGA2
1925	GOLGA2
543	GOLGA2
466	GOLGA2
754	GOLGA2
443	GOLGA2
406	GOLGA2
487	GOLGA2
2781	GOLGA2
462	GOLGA2
1556	P2RY6
2290	P2RY6
8924	P2RY6
1674	P2RY6
1700	P2RY6
2457	P2RY6
1829	P2RY6
2406	P2RY6
2356	P2RY6
874	P2RY6
1791	P2RY6
2171	P2RY6
2298	P2RY6
2743	P2RY6
2628	P2RY6
2404	P2RY6
432	PFKP
2819	PFKP
2626	PFKP
143	PFKP
2741	PFKP
2061	PFKP
2685	PFKP
2769	PFKP
2759	PFKP
658	PFKP
705	PFKP
3265	PFKP
425	PFKP
552	PFKP
496	PFKP
1698	PFKP
456	PFKP
658	NUDT1
712	NUDT1
783	NUDT1
822	NUDT1
698	NUDT1
771	NUDT1
714	NUDT1
263	NUDT1
872	NUDT1
2133	PDCD10
1360	PDCD10
1276	PDCD10
814	PDCD10
934	PDCD10
1026	PDCD10
849	PDCD10
716	PDCD10
764	PDCD10
430	PDCD10
715	PDCD10
686	PDCD10
1119	PDCD10
757	PDCD10
225	PDCD10
585	PDCD10
674	PDCD10
416	PDCD10
132	RNA5SP443
2764	KRT222
2703	KRT222
1116	KRT222
490	KRT222
656	KRT224P
1883	KRT24
1669	KRT25
2473	IHH
63	MIR3131
286	RN7SL764P
2955	TLR4
4048	TLR4
12677	TLR4
539	TLR4
770	KRT27
1628	KRT27
2322	SLC23A3
2037	SLC23A3
2048	SLC23A3
2221	SLC23A3
603	SLC23A3
785	SLC23A3
510	SLC23A3
559	SLC23A3
537	SLC23A3
531	SLC23A3
1692	KRT28
4561	PIGO
5033	PIGO
5915	PIGO
4225	PIGO
2828	PIGO
2588	PIGO
4112	PIGO
2482	PIGO
6655	PIGO
2694	PIGO
5447	PIGO
2219	PIGO
2686	PIGO
2523	PIGO
3585	PIGO
762	PIGO
3702	PIGO
760	PIGO
783	PIGO
634	IFITM1
488	IFITM1
631	IFITM1
324	IFITM1
467	IFITM1
841	IFITM1
387	IFITM1
390	IFITM1
225	IFITM1
392	IFITM1
195	IFITM1
730	IFITM1
522	IFITM1
354	IFITM1
844	IFITM1
447	IFITM1
662	IFITM1
656	IFITM1
666	IFITM1
668	IFITM1
804	IFITM1
704	IFITM1
611	IFITM1
835	IFITM1
708	IFITM1
80	IFITM1
104	IFITM1
476	RPL21P60
1009	PRMT1P1
1588	RAB24
1820	RAB24
1236	RAB24
1608	RAB24
1385	RAB24
1642	RAB24
870	RAB24
563	RAB24
519	RAB24
2143	KRT10
2163	KRT10
162	RNU1-148P
582	ADAM28
2543	ADAM28
7082	ADAM28
7019	ADAM28
2085	ADAM28
522	ADAM28
636	ADAM28
510	ADAM28
1828	ADAM28
1071	ADAM28
684	ADAM28
553	ADAM28
471	ADAM28
1797	EIF4H
2563	EIF4H
831	EIF4H
2776	EIF4H
2668	EIF4H
2312	EIF4H
2503	EIF4H
2639	EIF4H
2148	EIF4H
2608	EIF4H
2698	EIF4H
573	EIF4H
974	EIF4H
4102	EIF4H
1507	SF3A3P2
1880	KRT12
614	KRT12
588	KRT12
632	KRT12
3289	SCN3B
1504	SCN3B
5683	SCN3B
6061	SCN3B
5388	SCN3B
5408	SCN3B
4570	SCN3B
4703	SCN3B
3984	SCN3B
1804	KRT20
2209	KRT23
2291	GBA1
2063	GBA1
1817	GBA1
2019	CNPPD1
2073	CNPPD1
1154	CNPPD1
919	CNPPD1
2524	ELMO1
5092	ELMO1
1982	ELMO1
3154	ELMO1
877	ELMO1
568	ELMO1
2621	ELMO1
549	ELMO1
881	ELMO1
570	ELMO1
580	ELMO1
655	ELMO1
610	ELMO1
576	ELMO1
650	ELMO1
2876	ELMO1
503	ELMO1
858	ELMO1
591	ELMO1
1226	PRELID1
778	PRELID1
712	PRELID1
886	PRELID1
1171	PRELID1
587	PRELID1
608	PRELID1
435	PRELID1
1062	PRPF18
1670	PRPF18
788	PRPF18
1204	PRPF18
732	PRPF18
761	PRPF18
833	PRPF18
1446	PRPF18
921	PRPF18
397	PRPF18
931	PRPF18
822	PRPF18
744	PRPF18
652	PRPF18
712	PRPF18
780	PRPF18
509	PRPF18
811	PRPF18
853	PRPF18
794	PRPF18
923	PRPF18
773	PRPF18
985	PRPF18
790	PRPF18
738	PRPF18
793	PRPF18
765	PRPF18
813	PRPF18
600	PRPF18
1247	PRPF18
1270	PRPF18
1241	PRPF18
908	PRPF18
828	PRPF18
740	PRPF18
841	PRPF18
858	PRPF18
530	PRPF18
970	PRPF18
906	PRPF18
574	PRPF18
241	PRPF18
521	PRPF18
297	PRPF18
257	PRPF18
505	PRPF18
367	PRPF18
313	PRPF18
318	PRPF18
558	PRPF18
722	PRPF18
607	PRPF18
338	PRPF18
120	PRPF18
745	PRPF18
612	PRPF18
1155	PRPF18
4435	ZNF202
4130	ZNF202
3384	ZNF202
855	ZNF202
552	ZNF202
541	ZNF202
564	ZNF202
585	ZNF202
640	ZNF202
685	GH1
756	GH1
537	GH1
376	GH1
823	GH1
830	GH1
2687	FAM163B
2778	FAM163B
4349	GOLGA8S
5186	GOLGA8S
2745	DBH
769	DBH
2323	RGS14
661	RGS14
817	RGS14
1536	RGS14
587	RGS14
559	RGS14
565	RGS14
2329	RGS14
472	RGS14
875	RGS14
414	RGS14
458	RGS14
590	RGS14
2348	ADAMDEC1
2044	ADAMDEC1
1922	ADAMDEC1
632	ADAMDEC1
992	RETREG2
558	RETREG2
2533	RETREG2
4556	RETREG2
609	RETREG2
563	RETREG2
729	RETREG2
550	RETREG2
543	RETREG2
1781	RETREG2
163	RNU1-21P
700	OR6M3P
545	DLG2-AS2
908	DLG2-AS2
576	DLG2-AS2
751	DLG2-AS2
693	LDHAL6DP
2139	DBH-AS1
967	HNRNPA1P72
4090	MMAB
945	MMAB
1188	MMAB
1089	MMAB
1252	MMAB
544	MMAB
561	MMAB
546	MMAB
650	MMAB
1342	MMAB
831	MYMK
531	MYMK
7805	SCN4A
577	SCN4A
567	SCN4A
871	HNRNPCP6
4399	ADAMTS13
107	RNU6-1292P
1210	TMEM126B
575	TMEM126B
820	TMEM126B
1015	TMEM126B
1388	TMEM126B
675	TMEM126B
1273	TMEM126B
853	TMEM126B
1149	TMEM126B
478	TMEM126B
376	TMEM126B
750	BRD9
1916	BRD9
2211	BRD9
4865	BRD9
3477	BRD9
2843	BRD9
2665	BRD9
3170	BRD9
2120	BRD9
861	BRD9
689	BRD9
580	BRD9
546	BRD9
744	BRD9
1417	BRD9
396	BRD9
449	BRD9
1139	BRD9
753	BRD9
1545	SCAMP3
1994	PRR29-AS1
1364	PRR29-AS1
2926	PRR29-AS1
889	PRR29-AS1
741	ZFAND2B
1322	ZFAND2B
1159	ZFAND2B
1199	ZFAND2B
1070	ZFAND2B
2021	ZFAND2B
705	ZFAND2B
562	ZFAND2B
569	ZFAND2B
1765	ZFAND2B
944	ZFAND2B
889	ZFAND2B
886	ZFAND2B
534	ZFAND2B
771	ZFAND2B
855	ZFAND2B
1064	ZFAND2B
1851	ZFAND2B
532	ZFAND2B
971	ZFAND2B
484	ZFAND2B
565	PRR29
967	PRR29
1052	PRR29
1266	PRR29
3128	PRR29
478	PRR29
458	PRR29
2117	PRR29
3059	PRR29
1637	PRR29
1417	ADAM7
3367	ADAM7
3358	ADAM7
1870	ADAM7
94	RNU6-1090P
1483	PNLIP
515	PNLIP
593	CLDN4
4163	CLDN4
580	CLDN4
4108	CLDN4
1695	CLDN4
2603	DAPK2
4835	DAPK2
2791	DAPK2
539	DAPK2
584	DAPK2
537	DAPK2
8086	DAPK2
1473	DAPK2
484	DAPK2
909	DAPK2
570	DAPK2
566	DAPK2
724	DAPK2
2154	CLK2
2018	OR9A4
1093	OR9A4
675	PNLIPP1
1064	ICAM2
1056	ICAM2
892	ICAM2
1221	ICAM2
1135	ICAM2
1334	ICAM2
1252	ICAM2
1114	ICAM2
1154	ICAM2
949	ICAM2
713	ICAM2
718	ICAM2
729	ICAM2
1297	ICAM2
586	ICAM2
907	ICAM2
2073	LRRD1
2839	LRRD1
407	LRRD1
726	TMEM126A
759	TMEM126A
656	TMEM126A
722	TMEM126A
643	TMEM126A
458	TMEM126A
5547	TSPAN14
808	TSPAN14
855	TSPAN14
959	TSPAN14
5476	TSPAN14
16221	TSPAN14
1037	TSPAN14
1380	TSPAN14
2588	TSPAN14
2436	TSPAN14
5707	ATXN7L1
2426	ATXN7L1
1963	ATXN7L1
2732	ATXN7L1
2324	ATXN7L1
1014	ATXN7L1
903	ATXN7L1
1470	ATXN7L1
1115	ATXN7L1
870	ATXN7L1
410	ATXN7L1
288	HMGN1P8
141	RNU4-32P
321	RN7SKP250
6844	MAML3
559	MAML3
902	ADAM7-AS2
503	ADAM7-AS2
577	ADAM7-AS2
592	ADAM7-AS2
483	ADAM7-AS2
582	SERPINI1
1600	SERPINI1
1907	SERPINI1
842	SERPINI1
668	SERPINI1
595	SERPINI1
541	SERPINI1
3461	RSRC2
1956	RSRC2
2001	RSRC2
2570	RSRC2
928	RSRC2
516	RSRC2
1376	RSRC2
1146	RSRC2
936	RSRC2
792	RSRC2
1041	RSRC2
625	RSRC2
3156	RSRC2
545	RSRC2
711	RSRC2
522	RSRC2
554	RSRC2
980	RSRC2
562	RSRC2
553	RSRC2
1341	OR4N4
2348	CCDC89
1062	SNURF
796	SNURF
331	SNURF
6302	ST18
6385	ST18
6187	ST18
6413	ST18
3870	ST18
3963	ST18
3928	ST18
725	ST18
567	ST18
558	ST18
2579	ST18
697	ST18
955	ST18
808	ST18
818	ST18
629	ST18
572	ST18
584	ST18
573	ST18
664	ST18
540	ST18
576	ST18
4739	ST18
501	ST18
836	ST18
575	ST18
545	ST18
345	IFITM3
1044	IFITM3
587	IFITM3
591	IFITM3
611	IFITM3
651	IFITM3
517	IFITM3
505	IFITM3
725	IFITM3
543	IFITM3
713	IFITM3
238	IFITM3
277	IFITM3
884	IFITM3
386	IFITM3
592	IFITM3
60	IFITM3
140	IFITM3
94	IFITM3
2797	ZCCHC4
1504	ZCCHC4
2045	ZCCHC4
1903	ZCCHC4
527	ZCCHC4
2490	PAK6
2767	PAK6
2620	PAK6
891	PAK6
565	PAK6
4215	PAK6
4379	PAK6
3865	PAK6
553	PAK6
552	PAK6
561	PAK6
560	PAK6
598	PAK6
569	PAK6
571	PAK6
1146	PAK6
2540	PAK6
542	PAK6
517	PAK6
805	PAK6
9028	ERN1
7895	ERN1
7687	ERN1
503	ERN1
571	ERN1
548	ERN1
398	ERN1
566	ERN1
4833	ERN1
4717	ERN1
1452	TRIP13
2431	TRIP13
313	TRIP13
746	TRIP13
571	TRIP13
303	TRIP13
306	TRIP13
103	RNU6-126P
3838	HCN3
474	RPL21P95
1673	KCTD14
904	KCTD14
302	MEMO1P3
566	NDUFC2-KCTD14
656	NDUFC2-KCTD14
530	NDUFC2-KCTD14
386	NDUFC2-KCTD14
5140	NAPEPLD
3233	PLSCR4
3033	PLSCR4
2839	PLSCR4
1442	PLSCR4
1375	PLSCR4
807	PLSCR4
1054	PLSCR4
609	PLSCR4
814	PLSCR4
683	PLSCR4
593	PLSCR4
1927	INTS12
1718	INTS12
1975	INTS12
644	INTS12
653	INTS12
726	INTS12
995	INTS12
562	INTS12
542	INTS12
569	INTS12
3047	PKLR
8531	ATXN1L
7896	ATXN1L
428	ATXN1L
445	ATXN1L
1174	THRSP
70	SNORD104
133	SNORA50C
2168	NDUFC2
1888	NDUFC2
422	NDUFC2
495	NDUFC2
561	NDUFC2
2676	SLC16A3
2667	SLC16A3
2659	SLC16A3
557	SLC16A3
2599	SLC16A3
2882	SLC16A3
562	SLC16A3
2439	SLC16A3
2503	SLC16A3
958	SLC16A3
863	SLC16A3
279	SLC16A3
2662	SLC16A3
4830	SLC16A3
2636	SLC16A3
2711	SLC16A3
2603	SLC16A3
678	SLC16A3
955	SLC16A3
503	IST1
476	IST1
1500	IST1
1962	IST1
531	IST1
4082	IST1
3583	IST1
894	IST1
521	IST1
612	IST1
1245	IST1
4561	IST1
2356	IST1
1125	IST1
908	IST1
674	IST1
2255	IST1
542	IST1
1841	IST1
126	IST1
710	IST1
2031	IST1
603	IST1
630	IST1
491	IST1
823	IST1
635	IST1
2182	NKD2
768	ABCB6
962	ABCB6
3008	ABCB6
2980	ABCB6
2878	ABCB6
679	ABCB6
806	ABCB6
882	ABCB6
552	ABCB6
707	ABCB6
570	ABCB6
793	ABCB6
544	ABCB6
6559	RRP8
726	RRP8
1126	RRP8
1989	RRP8
956	RRP8
3095	SFXN3
1224	SFXN3
1876	SFXN3
744	SFXN3
549	SFXN3
761	SFXN3
2756	SFXN3
2541	SFXN3
4459	LANCL2
1663	LANCL2
689	LANCL2
573	LANCL2
104	RNU6-586P
126	RNU4ATAC4P
728	DNAJB6P4
105	RNU6-387P
107	RNU6-1031P
663	CR1L
1829	CR1L
351	CR1L
930	CR1L
1587	CR1L
331	KNTC1
3655	KNTC1
6974	KNTC1
553	KNTC1
1250	KNTC1
782	KNTC1
1519	KNTC1
2412	KNTC1
616	KNTC1
624	KNTC1
1178	KNTC1
203	KNTC1
615	KNTC1
641	KNTC1
1065	KNTC1
4904	SCART1
4756	SCART1
4929	SCART1
4709	SCART1
3451	SCART1
946	SCART1
1617	ILK
1594	ILK
1801	ILK
1692	ILK
851	ILK
1696	ILK
1759	ILK
891	ILK
1559	ILK
574	ILK
2074	ILK
111	ILK
596	ILK
566	ILK
947	ILK
790	ILK
5300	SLC12A7
3142	SLC12A7
1066	SLC12A7
680	SLC12A7
3781	HERC6
3776	HERC6
517	HERC6
2293	HERC6
557	HERC6
638	HERC6
706	HERC6
763	CD46P1
689	CDCA4P3
680	CDCA4P4
792	FAM215A
755	FAM215A
3575	LIPJ
1484	LIPJ
462	LIPJ
7969	CD34
915	CD34
2538	CD34
2874	CD34
496	PPY
521	PPY
563	PPY
468	PPY
499	PPY
431	PPY
2033	NPY4R2
14292	KMT2C
7285	KMT2C
16860	KMT2C
11540	KMT2C
7203	KMT2C
11523	KMT2C
5764	KMT2C
5332	KMT2C
5755	KMT2C
11814	KMT2C
3710	KMT2C
5895	KMT2C
11300	KMT2C
15972	KMT2C
2757	KMT2C
7126	KMT2C
8101	KMT2C
7554	KMT2C
6914	KMT2C
2523	KMT2C
6590	KMT2C
10473	KMT2C
2678	KMT2C
15426	KMT2C
12854	KMT2C
5587	KMT2C
14469	KMT2C
3494	KMT2C
1222	KMT2C
1679	KMT2C
2311	KMT2C
686	KMT2C
4511	KMT2C
2599	KMT2C
6428	KMT2C
6341	KMT2C
5883	KMT2C
6309	KMT2C
6456	KMT2C
8856	KMT2C
2742	KMT2C
4763	KMT2C
6172	KMT2C
8151	KMT2C
7662	KMT2C
227	KMT2C
525	KMT2C
2672	KMT2C
9575	KMT2C
4526	KMT2C
1454	KMT2C
1599	KMT2C
5627	KMT2C
3340	KMT2C
1531	KMT2C
713	KMT2C
512	KMT2C
6408	KMT2C
1665	KMT2C
1225	KMT2C
2383	KMT2C
3383	KMT2C
1833	KMT2C
1126	KMT2C
1949	KMT2C
971	KMT2C
658	KMT2C
738	KMT2C
755	KMT2C
307	KMT2C
910	NPM3
755	NPM3
481	NPM3
393	NPM3
2114	NAGS
1995	NAGS
1955	NAGS
1247	AKR1C8
1034	AKR1C8
2182	AKR1C8
492	AKR1C8
79	MIR4635
120	RNA5SP192
334	IRAIN
353	IRAIN
1527	IRAIN
5245	
429	UQCRQ
874	UQCRQ
258	UQCRQ
1573	UQCRQ
586	UQCRQ
509	UQCRQ
1950	
648	VPS13C-DT
1921	VPS13C-DT
7440	LINC02767
12808	BNC2
4841	BNC2
2106	BNC2
3673	BNC2
3750	BNC2
3449	BNC2
3361	BNC2
276	BNC2
1211	BNC2
1008	BNC2
688	BNC2
545	BNC2
662	BNC2
745	BNC2
561	BNC2
687	BNC2
1525	TMEM101
1830	TMEM101
965	TMEM101
682	TMEM101
576	TMEM101
573	TMEM101
593	TMEM101
478	TMEM101
930	OR10J6P
3445	C2CD4A
107	RNU6-828P
107	RNU6-37P
293	RN7SL731P
337	LINC01475
766	LINC01475
856	NPM1P47
575	RPL15P12
1581	C2CD4B
2088	NKX2-3
2064	
806	PGD
462	PGD
2268	PGD
508	PGD
680	PGD
642	PGD
767	PGD
476	PGD
790	PGD
506	PGD
935	LEAP2
457	LEAP2
861	LEAP2
74	RNU7-181P
120	MIR5194
112	RNU6-1255P
2031	ASAP1-IT2
8548	ENTPD7
548	ENTPD7
266	Metazoa_SRP
4366	RRS1-DT
77	MIR8067
2083	ENOPH1
1874	ENOPH1
1689	ENOPH1
1720	RRS1
129	MIR1272
2690	PIF1
2687	PIF1
2278	PIF1
459	PIF1
650	PIF1
673	PIF1
268	PIF1
1631	PIF1
1114	PIF1
1775	CDX1
4901	
543	EBAG9P1
612	CUTC
1332	CUTC
831	CUTC
727	CUTC
3701	ATG9A
3770	ATG9A
3799	ATG9A
4025	ATG9A
812	ATG9A
2512	ATG9A
733	ATG9A
581	ATG9A
893	ATG9A
699	ATG9A
700	ATG9A
574	ATG9A
796	ATG9A
589	ATG9A
576	ATG9A
594	ATG9A
579	ATG9A
558	ATG9A
685	ATG9A
568	ATG9A
487	ATG9A
433	PLSCR4P1
5198	FBXL17
3773	FBXL17
604	FBXL17
561	FBXL17
2552	LSM12
2791	LSM12
559	LSM12
966	LSM12
2049	MRFAP1
1574	MRFAP1
563	MRFAP1
1982	MRFAP1
1956	ADHFE1
2229	ADHFE1
1830	ADHFE1
1006	ADHFE1
2179	ADHFE1
1460	ADHFE1
1972	ADHFE1
570	ADHFE1
524	ADHFE1
556	ADHFE1
982	ADHFE1
515	ADHFE1
529	ADHFE1
1979	ADHFE1
821	ADHFE1
609	ADHFE1
1469	CENPS-CORT
626	CENPS-CORT
571	CENPS-CORT
1326	CENPS-CORT
494	CENPS-CORT
5030	COX15
2788	COX15
366	COX15
1976	PLSCR1
1384	PLSCR1
701	PLSCR1
1443	PLSCR1
983	PLSCR1
996	PLSCR1
581	PLSCR1
984	PLSCR1
514	PLSCR1
629	PLSCR1
870	PLSCR1
340	PLSCR1
862	PLSCR1
1198	PLSCR1
817	PLSCR1
480	PLSCR1
1257	PLSCR1
415	PLSCR1
107	RNU6-131P
2725	HROB
2698	HROB
2272	HROB
1388	HROB
760	HROB
906	CNN2P3
1187	GXYLT1P6
3248	ARL15
3328	ARL15
804	ARL15
578	ARL15
628	ARL15
536	ARL15
847	NANOGP6
905	CENPS
312	CENPS
914	CENPS
584	CENPS
684	CENPS
5727	CCDC6
2642	CCDC6
729	CCDC6
641	GXYLT1P4
589	GXYLT1P4
1192	GXYLT1P4
8742	CENPE
8541	CENPE
512	CENPE
291	CENPE
793	CENPE
581	CENPE
3453	
3400	
3082	SMOC2
3150	SMOC2
400	SMOC2
672	SMOC2
362	SMOC2
6035	DFFA
744	DFFA
1403	DFFA
3652	
4264	
4664	DHX29
4557	DHX29
844	DHX29
479	DHX29
4329	LINC01553
1815	LINC01553
387	LINC01553
3145	LINC02913
562	LINC02913
499	ASB16
2142	ASB16
1743	ASB16
105	RNU6-790P
1895	RHAG
2014	RHAG
1225	RHAG
1183	RHAG
623	RHAG
1104	RHAG
705	ARL4AP1
729	NPM1P20
434	ANK3-DT
584	HSDL2-AS1
561	HSDL2-AS1
446	HSDL2-AS1
863	HSDL2-AS1
754	HSDL2-AS1
411	HSDL2-AS1
1318	HSDL2-AS1
723	CDK1
1720	CDK1
1733	CDK1
276	CDK1
1889	CDK1
1948	CDK1
1613	CDK1
598	CDK1
293	RN7SL472P
3228	HSP90AA1
3510	HSP90AA1
1710	HSP90AA1
694	HSP90AA1
488	HSP90AA1
581	HSP90AA1
429	HSP90AA1
552	HSP90AA1
584	HSP90AA1
595	HSP90AA1
1417	LINC02975
933	LINC02975
1351	LINC02975
679	LINC01504
2078	LINC01504
588	LINC01504
1987	LINC01504
1324	LINC01504
2216	LINC01504
1406	LINC01504
1248	LINC01504
720	LINC01504
796	LINC01504
1580	TMUB2
2202	TMUB2
1921	TMUB2
1969	TMUB2
1569	TMUB2
2418	TMUB2
747	TMUB2
1918	TMUB2
2151	TMUB2
1837	TMUB2
1505	TMUB2
546	TMUB2
1839	TMUB2
1598	TMUB2
1191	TMUB2
792	NSA2P1
125	SNORA77
7020	SMC2-DT
672	SMC2-DT
2464	SMC2-DT
1398	SMC2-DT
1174	SMC2-DT
1153	SMC2-DT
1356	LAX1
3271	LAX1
2719	LAX1
3569	PLEKHO2
3689	PLEKHO2
820	DCHS1-AS1
2305	MRPL17
303	MRPL17
1002	MRPL17
448	MRPL17
2065	HCAR2
2056	HCAR3
69	MIR6782
4769	HCAR1
1349	PGM5P3-AS1
666	PGM5P3-AS1
1185	PGM5P3-AS1
2416	PGM5P3-AS1
561	PGM5P3-AS1
567	PGM5P3-AS1
1399	PGM5P3-AS1
633	PGM5P3-AS1
1070	PGM5P3-AS1
328	RPL35AP5
633	LHX1-DT
656	LHX1-DT
1352	LHX1-DT
742	ANKDD1A
2224	ANKDD1A
3101	ANKDD1A
3351	ANKDD1A
1477	ANKDD1A
1448	ANKDD1A
1280	ANKDD1A
1250	ANKDD1A
494	ANKDD1A
1560	SNRPE
967	SNRPE
532	SNRPE
478	SNRPE
248	SNRPE
355	SNRPE
479	RPL21P94
2936	CCDC62
2479	CCDC62
331	CCDC62
3301	CCDC62
3537	CCDC62
2266	CCDC62
2194	GVINP2
10713	DCHS1
409	DCHS1
569	LHX1
864	LHX1
3425	LHX1
489	UBQLN1-AS1
1199	UBQLN1-AS1
868	UBQLN1-AS1
1805	LINC00092
1707	LINC00092
1872	LINC00092
3064	LINC00092
2855	LINC00092
2783	LINC00092
2492	LINC00092
1371	KRT8P29
1866	SMPDL3B
1913	SMPDL3B
953	SMPDL3B
1548	SMPDL3B
726	SMPDL3B
1611	SMPDL3B
563	RIMOC1
5246	RIMOC1
637	RIMOC1
163	RNU2-72P
1431	SLC25A28
1388	SLC25A28
1005	SLC25A28
1459	SLC25A28
1526	SLC25A28
1208	SLC25A28
1536	SLC25A28
1255	SLC25A28
2432	SLC25A28
2487	SLC25A28
552	RFX3-DT
496	RFX3-DT
1088	RFX3-DT
976	RFX3-DT
1086	RFX3-DT
765	RFX3-DT
1473	RFX3-DT
777	RFX3-DT
1031	RFX3-DT
69	MIR2909
2131	REEP2
2099	REEP2
1021	REEP2
553	REEP2
571	REEP2
560	REEP2
709	REEP2
572	REEP2
717	REEP2
550	REEP2
4630	PPP2R5C
4481	PPP2R5C
3363	PPP2R5C
800	PPP2R5C
2013	PPP2R5C
4045	PPP2R5C
448	PPP2R5C
492	PPP2R5C
564	PPP2R5C
279	PPP2R5C
3845	PPP2R5C
759	PPP2R5C
735	PPP2R5C
601	PPP2R5C
1227	PPP2R5C
536	PPP2R5C
1526	PPP2R5C
4328	PPP2R5C
1307	PPP2R5C
457	PPP2R5C
421	PPP2R5C
317	PPP2R5C
285	PPP2R5C
477	PPP2R5C
384	PPP2R5C
987	PPP2R5C
579	PPP2R5C
645	PPP2R5C
558	PPP2R5C
483	PPP2R5C
607	PPP2R5C
798	PPP2R5C
488	PPP2R5C
4387	GAS1RR
1042	GAS1RR
1533	GAS1RR
1431	CNPY3
1720	AATF
3021	AATF
4050	AATF
2446	AATF
2598	AATF
1940	AATF
1963	AATF
2076	AATF
2018	AATF
2062	AATF
1390	AATF
2007	AATF
2060	AATF
2712	AATF
2629	AATF
2649	AATF
1540	LINC01505
1686	LINC01505
1332	LINC01505
1425	LINC01505
1434	LINC01505
1632	LINC01505
1483	LINC01505
1622	LINC01505
1477	LINC01505
646	LINC01505
1352	LINC01505
1316	LINC01505
1581	LINC01505
1468	LINC01505
1355	LINC01505
1464	LINC01505
724	LINC01505
653	LINC01505
1492	LINC01505
1123	LINC01505
1497	LINC01505
1496	LINC01505
1528	LINC01505
1720	LINC01505
1187	LINC01505
2054	LINC01505
745	LINC01505
686	LINC01505
4266	LINC01505
2298	LINC01505
1649	LINC01505
1085	LINC01505
1340	LINC01505
2006	LINC01505
1529	LINC01505
1414	LINC01505
664	LINC01505
781	LINC01505
697	LINC01505
1761	LINC01505
360	LINC01505
902	LINC01505
473	LINC01505
1712	GPX6
716	GPX6
557	GPX6
1793	ALG8
2312	ALG8
1631	ALG8
1605	ALG8
1566	ALG8
1471	ALG8
1765	ALG8
1289	ALG8
517	ALG8
2293	ALG8
1677	ALG8
2301	ALG8
1688	ALG8
2053	ALG8
1675	ALG8
2271	ALG8
2251	ALG8
1398	ALG8
1855	ALG8
1727	ALG8
2481	ALG8
1426	ALG8
2194	ALG8
2266	ALG8
2904	ALG8
2026	ALG8
1431	ALG8
1709	ALG8
2372	ALG8
1636	ALG8
1355	ALG8
1886	ALG8
1539	ALG8
1637	ALG8
1497	ALG8
2539	ALG8
2387	ALG8
2443	ALG8
1653	ALG8
1745	ALG8
1669	ALG8
2479	ALG8
1687	ALG8
1633	ALG8
1320	ALG8
2442	ALG8
1667	ALG8
1681	ALG8
1515	ALG8
1525	ALG8
1491	ALG8
1507	ALG8
645	ALG8
2094	ALG8
1202	ALG8
995	ALG8
892	ALG8
1354	ALG8
614	ALG8
475	NKX6-2
2768	NKX6-2
1903	KLHDC3
1869	KLHDC3
8263	CFAP46
8349	CFAP46
610	CFAP46
563	CFAP46
394	CFAP46
1675	CFAP46
573	CFAP46
1825	CFAP46
1156	CFAP46
5174	GOLGA8K
1386	GOLGA8K
3078	HIP1R
4509	HIP1R
2054	HIP1R
538	HIP1R
1233	HIP1R
711	HIP1R
1616	HIP1R
1176	HIP1R
924	HIP1R
665	HIP1R
781	RPS3AP16
360	VPS51P13
726	LYAR
1554	LYAR
1468	LYAR
780	LYAR
107	RNU6-428P
450	PLSCR5-AS1
79	
98	MIR15B
81	MIR16-2
297	RN7SL559P
4615	TRIM59
3824	TRIM59
860	TRIM59
548	TRIM59
603	TRIM59
576	TRIM59
577	TRIM59
601	TRIM59
2048	XKR8
1878	XKR8
4991	XKR8
2243	XKR8
2512	XKR8
2178	XKR8
2427	XKR8
623	XKR8
1578	XKR8
3143	VXN
557	VXN
346	VXN
3313	VXN
3227	VXN
3155	VXN
582	VXN
1347	VXN
865	VXN
565	VXN
536	VXN
793	ASB9P1
2504	CLK4
3722	CLK4
1955	CLK4
3129	CLK4
2780	CLK4
3462	CLK4
572	CLK4
857	CLK4
1305	CLK4
1316	CLK4
1249	CLK4
735	CLK4
1690	CLK4
1704	CHASERR
395	CHASERR
2683	CHASERR
732	CHASERR
802	CHASERR
577	CHASERR
556	CHASERR
490	CHASERR
1776	CHASERR
1078	CHASERR
977	CHASERR
978	CHASERR
1349	HELT
1099	HELT
846	HELT
1008	HELT
1503	FAM89A
1576	FAM89A
983	FAM89A
1259	LINC01474
628	LINC01474
